Households_with_Internet,Households_with_Computer,Age_Group_0_29,Households_with_Car_Jeep_Van,Households_with_Telephone_Mobile_Phone,LR
762,5256,600759,2988,56495,0.505143884
1999,5892,503223,5091,72197,0.445308427
574,2150,70703,4271,13836,0.702465409
235,1005,87532,1847,10562,0.612462891
346,3342,304979,1731,36358,0.548877494
673,6219,404903,3128,65569,0.566781598
1443,6112,357864,4687,88964,0.631378815
3698,10645,636524,10075,107269,0.540801497
985,3155,252378,2237,34528,0.474155602
16413,33831,693238,34586,157875,0.605244541
878,2779,194165,2313,27786,0.481687432
1537,5293,342601,6164,65162,0.524512883
884,3440,170086,3634,33786,0.512743459
2712,8612,704145,7846,102683,0.505734723
838,3542,266858,2421,49605,0.492563895
596,3077,263576,1804,47031,0.534432204
417,2644,188526,958,27216,0.437290501
274,1651,145931,850,17702,0.466007213
1214,5744,339145,3800,64858,0.580833716
602,2849,203967,1878,28783,0.478416866
19905,46657,816827,44063,241206,0.743245893
992,4465,177277,4093,50736,0.715398027
1615,5117,306555,5074,73995,0.623876859
8053,22753,766581,22727,274180,0.763299836
61,252,15928,536,4995,0.692085921
2623,7010,244727,8479,79454,0.702603088
5333,16401,524285,15958,172205,0.723908432
2521,7525,224044,6665,90286,0.787414682
2412,8238,273223,8059,90729,0.766952624
1574,6281,193671,6573,66935,0.753018672
5250,14478,321533,15117,108699,0.738520127
2220,8593,310244,7459,75406,0.684423097
9177,24127,425721,23107,161675,0.752622204
354,2563,42360,2775,16468,0.721567742
14428,38445,1261421,32484,336075,0.711265997
9732,23145,433331,23561,145116,0.707298373
39082,79134,1159156,72374,395069,0.739671953
13747,34328,831741,33720,278411,0.756132672
5264,13936,318597,14456,110382,0.716073558
5138,14294,321018,18239,98401,0.709862154
58589,123400,1901528,120172,606726,0.731756499
7897,21662,535408,26253,155841,0.630571451
10042,31070,1171770,37105,290671,0.604961179
4571,14077,495167,23185,135144,0.581938494
4348,12276,336540,15528,95758,0.617457588
11284,32253,754927,36173,215302,0.608464378
2673,10085,420050,12805,111889,0.550255862
24274,55105,1042519,57008,303548,0.668249383
29961,63864,1384987,56185,379572,0.676436248
4300,13102,641875,15885,155842,0.594985651
6600,17542,365300,17248,114425,0.734313721
25944,50857,540872,49154,172826,0.740553252
10736,30955,904316,35264,252535,0.60542277
3501,10566,322607,12912,89207,0.604222814
44283,78113,602411,60494,209783,0.763122839
602,4104,202426,1637,43020,0.651727126
899,5582,229715,2516,59079,0.71642599
418,3082,141848,1111,40057,0.705503849
1366,7831,368324,4324,98205,0.659191412
25862,71199,968517,48070,278318,0.742329495
2633,12670,380765,4874,113779,0.720078397
1344,7932,273494,3008,67332,0.71477477
435,3595,147488,1149,35364,0.690590155
1830,9858,351595,3396,98610,0.701193242
548,3159,156916,1387,31466,0.68448823
7265,26270,562548,13800,145056,0.729621152
7883,28053,1042614,16841,228966,0.629412179
11947,35023,1207120,21893,250344,0.623328548
18615,32174,309078,29497,92486,0.722114831
12899,32767,617859,26122,170149,0.72497452
8079,25129,694813,20791,175426,0.685598396
7356,21951,552034,20261,145855,0.670595187
3724,15301,630194,12792,153352,0.601811964
11163,29253,884972,26238,215865,0.649702655
10024,26719,739075,17466,172677,0.652542605
9029,30697,855201,22367,207285,0.688493318
5263,23750,784085,15836,193577,0.62418525
3210,13142,555745,14030,136196,0.591901793
6287,22706,750228,24468,190983,0.604465449
10132,33400,1017830,24642,259276,0.638965074
5292,25236,964960,16793,242718,0.654577548
8482,27225,605741,16545,160621,0.704465871
5034,19241,549975,14298,145032,0.705433507
2624,13908,530000,8538,133653,0.683508515
5121,18092,518747,12161,137152,0.707457916
67087,102343,875531,92934,274931,0.733684972
935,10499,790930,6220,111968,0.417619069
43437,82673,1095602,63470,302937,0.703274461
4283,16736,684189,10185,121222,0.575229115
114044,188876,2138591,152362,636303,0.740551379
21418,40543,506601,25574,160557,0.767493114
30390,69417,1393078,37482,357017,0.718937699
80037,127465,948963,87499,329844,0.791529626
7366,11948,76076,7248,27920,0.804054815
19724,30627,317650,21001,104185,0.759651051
109666,171002,1399165,134587,476978,0.771133156
94853,156635,1296955,105425,425929,0.779643151
111453,176435,1588001,121101,513042,0.76078185
6295,24901,1167889,21515,284669,0.606013809
3360,16217,1058044,16537,249474,0.582712944
7607,29531,1543867,17113,287946,0.540962386
2577,15259,1293193,9938,268431,0.563492285
4828,24178,1298780,15861,314807,0.641240592
9750,45770,2346721,30207,477446,0.594003722
4179,26106,1659515,10349,303255,0.581083414
1330,9504,815651,3614,117770,0.566174008
1059,13045,947173,3820,166652,0.552614507
1887,14310,841697,4398,171024,0.555387252
1719,14539,1047136,6664,202591,0.573938959
76565,182350,4091148,142866,974168,0.649086849
5647,28382,1672813,22494,384989,0.61707565
4449,35328,2088323,26150,465022,0.531668875
19335,54808,2359786,40768,491165,0.550973987
754,7416,448969,5218,81102,0.46073182
2766,37730,1731122,27009,299183,0.456388495
1585,12794,1176496,12367,237522,0.453638317
2146,10297,649290,6343,125006,0.460083794
4043,19270,1207983,14175,316935,0.53283637
13499,41732,1561077,24509,363250,0.591034559
1908,12482,880194,6295,189703,0.527436352
1392,7705,686771,5787,143433,0.526636817
6207,24014,1439454,17508,341043,0.521533737
1989,9222,687165,7060,168164,0.535310916
